Step,Accuracy,Precision,Recall
17700,0.7553,0.8119,0.8059
17800,0.7552,0.8121,0.8056
17900,0.7552,0.8108,0.8052
18000,0.7552,0.8105,0.8055
18100,0.7554,0.8107,0.8057
18200,0.7554,0.8111,0.8061
18300,0.7551,0.8120,0.8052
18400,0.7551,0.8118,0.8054
18500,0.7550,0.8124,0.8043
18600,0.7549,0.8121,0.8054
18700,0.7551,0.8123,0.8051
18800,0.7551,0.8124,0.8049
18900,0.7548,0.8124,0.8040
19000,0.7552,0.8128,0.8050
19100,0.7555,0.8130,0.8039
19200,0.7558,0.8129,0.8025
19300,0.7558,0.8123,0.8028
19400,0.7557,0.8135,0.8023
19500,0.7558,0.8129,0.8018
19600,0.7557,0.8130,0.8020
19700,0.7555,0.8134,0.8024
19800,0.7558,0.8135,0.8018
19900,0.7562,0.8146,0.8029
20000,0.7566,0.8146,0.8026
20100,0.7567,0.8147,0.8010
20200,0.7569,0.8151,0.8015
20300,0.7569,0.8152,0.8016
20400,0.7568,0.8154,0.8011
20500,0.7564,0.8149,0.7998
20600,0.7564,0.8162,0.8000
20700,0.7563,0.8153,0.7992
20800,0.7564,0.8159,0.7990
20900,0.7567,0.8165,0.7985
21000,0.7570,0.8172,0.7985
21100,0.7570,0.8180,0.7990
21200,0.7570,0.8180,0.7994
21300,0.7572,0.8180,0.7984
21400,0.7572,0.8169,0.7986
21500,0.7569,0.8165,0.7978
21600,0.7569,0.8173,0.7975
21700,0.7566,0.8159,0.7982
21800,0.7567,0.8156,0.7983
21900,0.7568,0.8160,0.7984
22000,0.7566,0.8162,0.7968
22100,0.7565,0.8162,0.7957
22200,0.7568,0.8168,0.7957
22300,0.7567,0.8175,0.7954
22400,0.7569,0.8170,0.7950
22500,0.7570,0.8168,0.7953
22600,0.7570,0.8179,0.7950
22700,0.7571,0.8178,0.7953
22800,0.7573,0.8168,0.7952
22900,0.7572,0.8170,0.7947
23000,0.7572,0.8174,0.7949
23100,0.7568,0.8167,0.7943
23200,0.7567,0.8161,0.7945
23300,0.7570,0.8162,0.7946
23400,0.7571,0.8159,0.7948
23500,0.7571,0.8160,0.7939
23600,0.7569,0.8164,0.7936
23700,0.7566,0.8166,0.7933
23800,0.7567,0.8175,0.7939
23900,0.7567,0.8181,0.7936
24000,0.7567,0.8187,0.7933
24100,0.7569,0.8189,0.7932
24200,0.7569,0.8188,0.7928
24300,0.7568,0.8193,0.7928
24400,0.7568,0.8193,0.7926
24500,0.7569,0.8193,0.7930
24600,0.7569,0.8197,0.7932
24700,0.7571,0.8205,0.7932
24800,0.7571,0.8209,0.7936
24900,0.7572,0.8206,0.7940
25000,0.7572,0.8212,0.7931
25100,0.7571,0.8210,0.7934
25200,0.7574,0.8206,0.7935
25300,0.7574,0.8212,0.7939
25400,0.7571,0.8212,0.7946
25500,0.7571,0.8221,0.7950
25600,0.7569,0.8216,0.7940
25700,0.7571,0.8215,0.7940
25800,0.7575,0.8212,0.7945
25900,0.7573,0.8212,0.7946
26000,0.7572,0.8215,0.7943
26100,0.7572,0.8212,0.7948
26200,0.7574,0.8209,0.7946
26300,0.7573,0.8202,0.7941
26400,0.7574,0.8198,0.7946
26500,0.7575,0.8201,0.7950
26600,0.7577,0.8201,0.7949
26700,0.7579,0.8199,0.7951
26800,0.7581,0.8207,0.7956
26900,0.7581,0.8203,0.7956
27000,0.7584,0.8210,0.7958
27100,0.7585,0.8201,0.7957
27200,0.7585,0.8201,0.7961
27300,0.7585,0.8198,0.7964
27400,0.7584,0.8202,0.7971
27500,0.7585,0.8203,0.7971
27600,0.7584,0.8201,0.7970
27700,0.7583,0.8198,0.7976
27800,0.7582,0.8195,0.7977
27900,0.7580,0.8200,0.7975
28000,0.7580,0.8197,0.7976
28100,0.7578,0.8193,0.7969
28200,0.7579,0.8195,0.7963
28300,0.7578,0.8199,0.7959
28400,0.7578,0.8201,0.7954
28500,0.7578,0.8204,0.7958
28600,0.7578,0.8196,0.7956
28700,0.7576,0.8193,0.7959
28800,0.7575,0.8196,0.7957
28900,0.7577,0.8196,0.7964
29000,0.7577,0.8190,0.7970
29100,0.7576,0.8185,0.7974
29200,0.7576,0.8190,0.7983
29300,0.7576,0.8192,0.7981
29400,0.7575,0.8192,0.7967
29500,0.7573,0.8188,0.7961
29600,0.7575,0.8184,0.7963
