Step,Accuracy,Precision,Recall
0,0.0,0.0,0.0
100,0.12871287128712872,0.07142857142857142,0.09090909090909091
200,0.30845771144278605,0.2222222222222222,0.19047619047619047
300,0.3853820598006645,0.3333333333333333,0.2
400,0.46633416458852867,0.3793103448275862,0.2682926829268293
500,0.5169660678642715,0.43902439024390244,0.3673469387755102
600,0.5490848585690515,0.4897959183673469,0.42857142857142855
700,0.5634807417974322,0.5573770491803278,0.4857142857142857
800,0.5930087390761548,0.6266666666666667,0.5595238095238095
900,0.611542730299667,0.6781609195402298,0.6145833333333334
1000,0.6273726273726273,0.6979166666666666,0.638095238095238
1100,0.6439600363306085,0.7222222222222222,0.6610169491525424
1200,0.649458784346378,0.7217391304347827,0.6693548387096774
1300,0.6510376633358954,0.7153846153846154,0.6940298507462687
1400,0.6573875802997858,0.7122302158273381,0.7021276595744681
1500,0.6622251832111925,0.7315436241610739,0.7077922077922078
1600,0.6720799500312304,0.7468354430379747,0.7151515151515152
1700,0.6778365667254557,0.7616279069767442,0.7318435754189944
1800,0.6779566907273736,0.7688172043010753,0.7333333333333333
1900,0.6827985270910047,0.7755102040816326,0.7378640776699029
2000,0.6841579210394803,0.7677725118483413,0.7465437788018433
2100,0.6882436934792956,0.7681818181818182,0.7544642857142857
2200,0.6896865061335756,0.7510548523206751,0.7542372881355932
2300,0.6949152542372882,0.7619047619047619,0.758893280632411
2400,0.6951270304039984,0.7633587786259542,0.7490636704119851
2500,0.6997201119552179,0.7695167286245354,0.7472924187725631
2600,0.6981930026912726,0.7697841726618705,0.7456445993031359
2700,0.7004813032210292,0.7724137931034483,0.7441860465116279
2800,0.7015351660121385,0.7792642140468228,0.7420382165605095
2900,0.7021716649431231,0.7799352750809061,0.7484472049689441
3000,0.7047650783072309,0.7854889589905363,0.75
3100,0.7039664624314738,0.7839506172839507,0.7448680351906158
3200,0.7066541705716963,0.7899408284023669,0.7478991596638656
3300,0.7097849136625265,0.7936962750716332,0.7486486486486487
3400,0.7124375183769479,0.797752808988764,0.7473684210526316
3500,0.712082262210797,0.7994579945799458,0.7525510204081632
3600,0.7125798389336295,0.7994722955145118,0.7518610421836228
3700,0.7133207241286139,0.8020565552699229,0.7554479418886199
3800,0.7156011575901079,0.8,0.7547169811320755
3900,0.7180210202512176,0.8014705882352942,0.7587006960556845
4000,0.7183204198950263,0.801452784503632,0.7574370709382151
4100,0.7178736893440624,0.7990654205607477,0.76
4200,0.7198286122351821,0.8027210884353742,0.7629310344827587
4300,0.7207626133457335,0.8056768558951966,0.76875
4400,0.7221086116791638,0.8068669527896996,0.7720739219712526
4500,0.7225061097533881,0.8072033898305084,0.771255060728745
4600,0.7239730493371006,0.8118609406952966,0.776908023483366
4700,0.7236758136566688,0.8087649402390438,0.7777777777777778
4800,0.7231826702770257,0.8117647058823529,0.7781954887218046
4900,0.7243419710263211,0.811284046692607,0.7736549165120594
5000,0.7250549890021996,0.8092485549132948,0.7706422018348624
5100,0.7263281709468732,0.8102466793168881,0.7721518987341772
5200,0.7263987694674101,0.8111111111111111,0.776595744680851
5300,0.7277872099603848,0.809437386569873,0.7729636048526863
5400,0.7283836326606185,0.8114901256732495,0.7687074829931972
5500,0.7276858752954009,0.8123893805309734,0.7714285714285715
5600,0.726298875200857,0.8121739130434783,0.7706270627062707
5700,0.7275916505876162,0.8160136286201022,0.7725806451612903
5800,0.7290122392690915,0.8157453936348409,0.7754777070063694
5900,0.7298762921538722,0.8151815181518152,0.774294670846395
6000,0.729878353607732,0.8156606851549756,0.7727975270479135
6100,0.7311916079331258,0.8174474959612278,0.7725190839694657
6200,0.7331075632962425,0.8191823899371069,0.7764530551415797
6300,0.7340104745278527,0.8204334365325078,0.7771260997067448
6400,0.7342602718325262,0.8191489361702128,0.7789017341040463
6500,0.7341947392708814,0.8202080237741456,0.7807637906647807
6600,0.7338282078472959,0.8188512518409425,0.7776223776223776
6700,0.7333233845694672,0.8188405797101449,0.7803867403314917
6800,0.7323922952506984,0.8189655172413793,0.776566757493188
6900,0.7336617881466454,0.8196022727272727,0.7776280323450134
7000,0.7347521782602485,0.8223776223776224,0.7798408488063661
7100,0.7363751584283904,0.8215767634854771,0.7805519053876478
7200,0.7369809748646021,0.8185538881309686,0.7792207792207793
7300,0.7372962607861937,0.8185483870967742,0.7797695262483995
7400,0.7381434941224159,0.8181818181818182,0.7831021437578815
7500,0.7395013998133583,0.81877444589309,0.7830423940149626
7600,0.7395079594790159,0.8170103092783505,0.7846534653465347
7700,0.7383456693935853,0.8140127388535032,0.785012285012285
7800,0.7384950647352904,0.8133669609079445,0.7837181044957473
7900,0.7385141121377041,0.813200498132005,0.7839135654261705
8000,0.7385326834145732,0.8140394088669951,0.7850356294536817
8100,0.7395383286014072,0.8112980769230769,0.7885514018691588
8200,0.7391781490062187,0.806872037914692,0.7881944444444444
8300,0.7391880496325743,0.8049065420560748,0.7883295194508009
8400,0.7401499821449827,0.8060046189376443,0.7887005649717514
8500,0.7401482178567227,0.8075170842824602,0.79041248606466
8600,0.7402627601441693,0.8065610859728507,0.7887168141592921
8700,0.7402597402597403,0.8046875,0.787117903930131
8800,0.7408249062606522,0.8061336254107339,0.790547798066595
8900,0.7416020671834626,0.8065217391304348,0.7902023429179978
9000,0.7423619597822464,0.8069039913700108,0.7906976744186046
